Titulo;E-ISSN;P-ISSN;Institución;Editora
Patristica et Mediaevalia;2683-9636;0325-2280;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Sección de Estudios de Filosofía Medieval;Universidad de Buenos Aires
Proyecciones;2618-5474;1850-6542;Universidad Nacional de La Plata;Universidad Nacional de La Plata
Tópicos;1668-723X;1666-485X;Universidad Nacional del Litoral;Asociación Revista de Filosofía de Santa Fe
Evidencia. Actualización en la Práctica Ambulatoria;1851-9776;1667-5703;null;Fundacion MF
Marine and Fishery Sciences;2683-7951;null;null;Instituto Nacional de Investigación y Desarrollo Pesquero (INIDEP)
Argentinian Journal of Respiratory and Physical Therapy;2618-4095;null;null;Argentinian Journal of Respiratory & Physical Therapy
Pensum;2469-0724;null;Universidad Nacional de Córdoba, Facultad de Arquitectura, Urbanismo y Diseño, Instituto de Investigación de Vivienda y Hábitat;Universidad Nacional de Córdoba
Revista Quebracho;1851-3026;0328-0543;Universidad Nacional de Santiago del Estero, Facultad de Ciencias Forestales;Universidad Nacional de Santiago del Estero
Quid 16;2250-4060;null;Universidad de Buenos Aires, Instituto de Investigaciones Gino Germani;Universidad de Buenos Aires
Identidades;2250-5369;null;Instituto de Estudios Sociales y Políticos de la Patagonia;Universidad Nacional de la Patagonia San Juan Bosco
Debate Universitario;2314-1530;2314-2138;Universidad Abierta Interamericana UAI;Universidad Abierta Interamericana
Cuadernos de Historia del Arte;2618-5555;0070-1688;Universidad Nacional de Cuyo. Facultad de Filosofía y Letras. Insstituto de Historia del Arte;Universidad Nacional de Cuyo. Facultad de Filosofía y Letras. Insstituto de Historia del Arte
Anales (Asociación Física Argentina);1850-1168;0327-358X;Asociacion Fisica Argentina;CEILAP-UNIDEF-CONICET-CITEDEF
Anuario del Centro de Estudios Históricos "Profesor Carlos S. A. Segreti";2683-9164;1666-6836;null;Centro de Estudios Históricos Segreti
Prohistoria;1851-9504;1514-0032;null;Grupo Prohistoria
Revista de Psicología;2469-2050;1669-2438;null;Pontificia Universidad Católica Argentina. Facultad de Psicología y Psicopedagogía
ConCienciaSocial;2591-5339;null;Universidad Nacional de Córdoba, Facultad de Ciencias Sociales, Dirección de Carrera de Licenciatura en Trabajo Social;Universidad Nacional de Córdoba
Revista Argentina de Radiología;1852-9992;0048-7619;Sociedad Argentina de Radiología (SAR) and Federación Argentina de Asociaciones de Radiología, Diagnóstico por Imágenes y Terapia Radiante (FAARDIT).;Publicaciones Permanyer
Revista TEFROS;1669-726X;null;Universidad Nacional de Río Cuarto, Taller de Etnohistoria de la Frontera Sur;Universidad Nacional de Río Cuarto
Geograficando;2346-898X;1850-1885;Facultad de Humanidades y Ciencias de la Educación, Departamento de Geografía;Universidad Nacional de La Plata
Revista Latinoamericana de la Papa;1853-4961;null;null;Asociación Latinoamericana de la Papa
Revista de la Sociedad Entomológica Argentina;1851-7471;0373-5680;null;Sociedad Entomológica Argentina
Revista de la Escuela de Antropología;2618-2998;1852-1576;null;Escuela de Antropología,  Facultad de Humanidades y Artes.  Universidad Nacional de Rosario
Virtualidad, Educación y Ciencia;1853-6530;null;Universidad Nacional de Córdoba;Maestría en Procesos Educativos Mediados por Tecnología
Sociedades Precapitalistas;2250-5121;null;Facultad de Humanidades y Ciencias de la Educación, Centro de Estudios de Historia Social Europea;Universidad Nacional de La Plata
Revista Pares;2718-8582;null;Red Académica Pares;Red Académica Pares
Cuadernos del CILHA;1852-9615;1515-6125;Centro Interdisciplinario de Literatura Hispanoamericana;Universidad Nacional de Cuyo
Revista Latinoamericana de Estudios Rurales;2525-1635;null;Asociación Latinoamericana de Sociología Rural;Asociación Latinoamericana de Sociología Rural , CEIL-CONICET
Revista Argentina de Microbiología;1851-7617;0325-7541;Asociación Argentina de Microbiología;Elsevier España
Auster;2346-8890;null;Centro de Estudios Latinos. IdIHCS (UNLP-CONICET);Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación
Zona Franca;2545-6504;null;Centro de Estudios Interdisciplinarios de las Mujeres, Maestría en Poder y Sociedad desde la Problemática del Género;Centro de Estudios Interdisciplinarios de las Mujeres
Revista de Estudios Clásicos;2469-0643;0325-3465;Instituto de Lenguas y Literaturas Clásicas;Universidad Nacional de Cuyo
Revista Electrónica de Fuentes y Archivos;1853-4503;null;null;Centro de Esudios Históricos "Prof. Carlos S .A. Segreti"
Acta Toxicológica Argentina;1851-3743;0327-9286;Asociación Toxicológica Argentina;Asociación Toxicológica Argentina
Ética & Cine;2250-5415;2250-5660;Universidad de Buenos Aires, Facultad de Psicología;Universidad Nacional de Córdoba (UNC)
Cartografías del Sur;2422-6920;2422-7951;Universidad Nacional de Avellaneda, Secretaría de Investigación e Innovación Productiva;Universidad Nacional de Avellaneda
Cuestiones de Sociología;2346-8904;null;Facultad de Humanidades y Ciencias de la Educación, Departamento de Sociología;Universidad Nacional de La Plata
Con X;2469-0333;null;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social
Perspectivas de las Ciencias Económicas y Jurídicas;2545-8566;2250-4087;Universidad Nacional de La Pampa, Facultad de Ciencias Económicas y Jurídicas;Universidad Nacional de La Pampa
Oficios Terrestres;1853-3248;1668-5431;Universidad Nacional de la Plata, Facultad de Periodismo y Comunicación Social;Universidad Nacional de la Plata
Astrolabio: Nueva Época;1668-7515;null;Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS);Universidad Nacional de Córdoba
Sociohistórica;1852-1606;null;Facultad de Humanidades y Ciencias de la Educación, Centro de Investigaciones Socio Históricas;Universidad Nacional de La Plata
Hipertextos;2314-3924;2314-3916;Universidad de Buenos Aires (UBA), Universidad Maimónides, Universidad Nacional de La Plata (UNLP), Universidad Nacional de Rafaela (UNRaf);Universidad Nacional de La Plata
Argumentos;2525-0469;null;Centro de Perfeccionamiento "Ricardo C. Nuñez" del Poder Judicial de la Provincia de Córdoba;Centro de Perfeccionamiento "Ricardo C. Nuñez" del Poder Judicial de la Provincia de Córdoba
Investigaciones y Ensayos;2545-7055;0539-242X;Academia Nacional de la Historia de la República Argentina;Academia Nacional de la Historia de la Republica Argentina
Ñeatá;2718-7268;null;null;Universidad Nacional del Nordeste
Quinto Sol;1851-2879;0329-2665;Universidad Nacional de La Pampa. Facultad de Ciencias Humanas. Instituto de Estudios Sociohistóricos;Instituto de Estudios Sociohistóricos, Facultad de Ciencias Humanas, Universidad Nacional de La Pampa
Ensayos de Política Económica;2313-979X;1853-6999;Pontificia Universidad Católica Argentina;Pontificia Universidad Católica Argentina
Intersecciones en Comunicación;2250-4184;1515-2332;null;Facultad de Ciencias Sociales Universidad Nacional del Centro de la Provincia de Buenos Aires
Acta Gastroenterológica Latinoamericana;2469-1119;0300-9033;Sociedad Argentina de Gastroenterología;Sociedad Argentina de Gastroenterología
